<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	1281.201	1284.050	1278.680	1283.920	5465	0	0
2019.01.02	04:00:00	1283.920	1288.640	1283.710	1287.990	8045	0	160
2019.01.02	08:00:00	1288.040	1288.700	1284.030	1285.440	7596	0	180
2019.01.02	12:00:00	1285.430	1287.630	1282.000	1285.190	14728	0	150
2019.01.02	16:00:00	1285.190	1286.490	1278.640	1283.170	7145	0	150
2019.01.02	20:00:00	1283.170	1290.130	1281.926	1286.670	5653	0	0
2019.01.03	00:00:00	1286.750	1289.610	1285.060	1288.350	6798	0	170
2019.01.03	04:00:00	1288.350	1292.260	1287.660	1289.650	10855	0	150
2019.01.03	08:00:00	1289.710	1289.710	1286.040	1287.990	7995	0	180
2019.01.03	12:00:00	1287.990	1291.300	1284.500	1289.210	19584	0	150
2019.01.03	16:00:00	1289.210	1294.940	1288.900	1294.940	8244	0	150
2019.01.03	20:00:00	1294.960	1297.010	1292.690	1296.780	6497	0	0
2019.01.04	00:00:00	1296.770	1298.520	1294.150	1294.410	8144	0	170
2019.01.04	04:00:00	1294.410	1296.230	1291.210	1291.740	7125	0	150
2019.01.04	08:00:00	1291.740	1292.530	1289.340	1291.070	5902	0	190
2019.01.04	12:00:00	1291.160	1291.660	1276.540	1285.490	26477	0	150
2019.01.04	16:00:00	1285.510	1286.090	1282.930	1284.880	9436	0	150
2019.01.04	20:00:00	1284.880	1285.345	1284.378	1284.762	1770	0	0
2019.01.06	00:00:00	1285.594	1285.983	1284.155	1284.244	1668	0	0
2019.01.06	20:00:00	1285.340	1285.750	1282.560	1284.880	2459	0	190
2019.01.07	00:00:00	1284.880	1289.720	1284.780	1288.790	6538	0	150
2019.01.07	04:00:00	1288.790	1292.320	1288.630	1290.770	8713	0	150
2019.01.07	08:00:00	1290.780	1292.890	1290.380	1292.200	6659	0	190
2019.01.07	12:00:00	1292.250	1295.030	1286.130	1287.690	15586	0	150
2019.01.07	16:00:00	1287.690	1288.970	1286.730	1288.730	6144	0	160
2019.01.07	20:00:00	1288.730	1289.590	1287.720	1288.990	3664	0	0
2019.01.08	00:00:00	1288.990	1290.180	1282.440	1282.930	7350	0	180
2019.01.08	04:00:00	1282.930	1284.710	1281.620	1283.050	8859	0	190
2019.01.08	08:00:00	1283.040	1284.020	1281.820	1282.370	6532	0	180
2019.01.08	12:00:00	1282.370	1286.260	1279.310	1284.350	13425	0	150
2019.01.08	16:00:00	1284.330	1286.930	1283.830	1285.240	4449	0	150
2019.01.08	20:00:00	1285.240	1286.090	1284.620	1285.270	4063	0	0
2019.01.09	00:00:00	1285.270	1287.040	1281.610	1282.070	7024	0	190
2019.01.09	04:00:00	1282.110	1283.530	1281.170	1282.680	6411	0	180
2019.01.09	08:00:00	1282.700	1282.760	1280.010	1281.460	5556	0	160
2019.01.09	12:00:00	1281.480	1291.740	1281.480	1288.490	18350	0	150
2019.01.09	16:00:00	1288.470	1293.900	1287.680	1293.610	9801	0	150
2019.01.09	20:00:00	1293.630	1293.732	1291.930	1293.130	4178	0	0
2019.01.10	00:00:00	1293.130	1297.030	1291.540	1295.680	6644	0	170
2019.01.10	04:00:00	1295.680	1296.950	1294.360	1294.470	6859	0	150
2019.01.10	08:00:00	1294.470	1294.660	1291.490	1293.890	6134	0	150
2019.01.10	12:00:00	1293.890	1294.590	1288.090	1288.990	13271	0	150
2019.01.10	16:00:00	1289.000	1289.200	1286.060	1286.220	7061	0	160
2019.01.10	20:00:00	1286.220	1288.590	1286.030	1287.880	4021	0	0
2019.01.11	00:00:00	1287.870	1292.850	1287.850	1292.730	5090	0	150
2019.01.11	04:00:00	1292.730	1295.120	1291.670	1292.840	6672	0	160
2019.01.11	08:00:00	1292.840	1293.540	1291.150	1291.990	5771	0	170
2019.01.11	12:00:00	1292.010	1293.180	1286.830	1289.310	13711	0	150
2019.01.11	16:00:00	1289.310	1290.890	1287.110	1288.300	3432	0	150
2019.01.11	20:00:00	1288.300	1288.473	1287.260	1287.514	1508	0	0
2019.01.13	00:00:00	1288.122	1288.614	1287.928	1288.149	1433	0	0
2019.01.13	20:00:00	1288.040	1289.630	1287.770	1289.000	1635	0	190
2019.01.14	00:00:00	1289.020	1292.660	1288.730	1290.460	5239	0	170
2019.01.14	04:00:00	1290.490	1294.070	1290.170	1293.660	6459	0	150
2019.01.14	08:00:00	1293.660	1295.790	1293.100	1295.200	7014	0	150
2019.01.14	12:00:00	1295.200	1295.660	1288.350	1290.550	12467	0	150
2019.01.14	16:00:00	1290.550	1292.320	1290.100	1291.520	3923	0	150
2019.01.14	20:00:00	1291.520	1292.460	1290.360	1291.160	3242	0	0
2019.01.15	00:00:00	1291.160	1293.360	1290.870	1291.170	5433	0	160
2019.01.15	04:00:00	1291.170	1291.480	1287.780	1288.880	5850	0	150
2019.01.15	08:00:00	1288.880	1292.010	1287.470	1290.780	6214	0	160
2019.01.15	12:00:00	1290.780	1294.590	1287.670	1287.820	14406	0	160
2019.01.15	16:00:00	1287.820	1290.790	1286.710	1289.000	7963	0	150
2019.01.15	20:00:00	1289.000	1290.830	1288.820	1290.600	4146	0	0
2019.01.16	00:00:00	1290.610	1291.130	1288.280	1289.550	5135	0	190
2019.01.16	04:00:00	1289.550	1292.710	1289.360	1290.730	7340	0	150
2019.01.16	08:00:00	1290.730	1290.730	1287.780	1288.790	4891	0	150
2019.01.16	12:00:00	1288.790	1294.950	1288.790	1294.630	10964	0	170
2019.01.16	16:00:00	1294.630	1294.920	1292.170	1293.100	6542	0	180
2019.01.16	20:00:00	1293.100	1293.970	1292.820	1293.890	3720	0	0
2019.01.17	00:00:00	1293.880	1295.330	1291.250	1291.390	5074	0	190
2019.01.17	04:00:00	1291.380	1294.940	1291.260	1293.950	5287	0	150
2019.01.17	08:00:00	1293.930	1294.950	1293.460	1293.770	5428	0	180
2019.01.17	12:00:00	1293.790	1293.970	1288.670	1291.510	12545	0	150
2019.01.17	16:00:00	1291.500	1293.220	1289.460	1291.750	6746	0	150
2019.01.17	20:00:00	1291.750	1292.400	1290.450	1291.060	3627	0	0
2019.01.18	00:00:00	1291.060	1292.340	1290.290	1291.870	4794	0	190
2019.01.18	04:00:00	1291.870	1292.120	1287.640	1288.590	5350	0	150
2019.01.18	08:00:00	1288.590	1288.690	1283.550	1285.760	5913	0	160
2019.01.18	12:00:00	1285.770	1285.820	1281.140	1282.430	12314	0	150
2019.01.18	16:00:00	1282.430	1283.440	1280.560	1280.630	5390	0	170
2019.01.18	20:00:00	1280.600	1281.573	1280.590	1281.522	2030	0	0
2019.01.20	00:00:00	1282.581	1283.275	1282.500	1282.614	1340	0	0
2019.01.20	20:00:00	1282.530	1283.470	1282.400	1283.380	1839	0	190
2019.01.21	00:00:00	1283.410	1283.470	1281.210	1281.330	3983	0	190
2019.01.21	04:00:00	1281.330	1283.400	1278.010	1279.020	5617	0	150
2019.01.21	08:00:00	1279.000	1279.320	1276.760	1277.660	4763	0	150
2019.01.21	12:00:00	1277.660	1280.980	1276.760	1280.340	5435	0	160
2019.01.21	16:00:00	1280.330	1280.526	1279.830	1280.154	2028	0	0
2019.01.21	20:00:00	1280.140	1280.470	1279.250	1279.340	1587	0	200
2019.01.22	00:00:00	1279.340	1279.840	1277.390	1277.550	4610	0	190
2019.01.22	04:00:00	1277.550	1284.540	1277.350	1284.480	6758	0	150
2019.01.22	08:00:00	1284.480	1284.800	1282.130	1283.120	5537	0	160
2019.01.22	12:00:00	1283.200	1284.280	1279.150	1283.080	8419	0	150
2019.01.22	16:00:00	1283.080	1285.370	1282.750	1284.410	6262	0	170
