<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.23	23:15:00	87308.74	87405.98	86818.21	87035.07	1790	0	1260
2025.11.23	23:30:00	87032.16	87032.16	86701.05	86835.04	1253	0	1260
2025.11.23	23:45:00	86834.96	86914.11	86720.59	86807.3	1169	0	1260
2025.11.24	00:00:00	86808.56	86808.56	86251.69	86306.57	1515	0	1260
2025.11.24	00:15:00	86301.7	86433.66	85901.43	86409.54	1750	0	1260
2025.11.24	00:30:00	86409.54	86960.55	86217.37	86831.5	1875	0	1260
2025.11.24	00:45:00	86831.05	87185.33	86634.3	86703.41	1871	0	1260
2025.11.24	01:00:00	86697.64	86968.02	86488.69	86725.61	1845	0	1260
2025.11.24	01:15:00	86723.43	86889.68	86544.57	86785.08	1634	0	1260
2025.11.24	01:30:00	86783.55	86816.48	86354.01	86489.89	1487	0	1260
2025.11.24	01:45:00	86488.49	87047.1	86396.54	87024.5	1543	0	1260
2025.11.24	02:00:00	87030.02	87924.07	86970.93	87862.92	2633	0	1260
2025.11.24	02:15:00	87863.14	88016.39	87662.18	87678.11	2112	0	1260
2025.11.24	02:30:00	87673.0	87769.21	87230.14	87343.23	1938	0	1260
2025.11.24	02:45:00	87347.2	87491.93	87208.7	87491.8	1339	0	1260
2025.11.24	03:00:00	87490.78	87556.68	87155.98	87279.84	1268	0	1260
2025.11.24	03:15:00	87282.88	87761.46	87203.92	87586.7	1391	0	1260
2025.11.24	03:30:00	87584.82	87656.01	87335.47	87420.01	1026	0	1260
2025.11.24	03:45:00	87421.86	87491.31	87216.31	87414.19	892	0	1260
2025.11.24	04:00:00	87416.59	87560.02	87303.77	87303.77	1276	0	1260
2025.11.24	04:15:00	87302.9	87302.9	86404.07	86567.58	2100	0	1260
2025.11.24	04:30:00	86564.59	86806.95	86552.43	86675.84	1080	0	1260
2025.11.24	04:45:00	86672.81	86794.63	86546.54	86689.78	882	0	1260
2025.11.24	05:00:00	86687.35	87672.98	86628.28	87528.12	1856	0	1260
2025.11.24	05:15:00	87530.52	87795.96	87441.59	87574.63	1570	0	1260
2025.11.24	05:30:00	87572.03	87611.34	87375.92	87498.52	1215	0	1260
2025.11.24	05:45:00	87501.42	87528.77	87222.25	87418.55	924	0	1260
2025.11.24	06:00:00	87421.32	87475.0	86876.57	86893.91	1454	0	1260
