<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.01	00:00:00	3750.39	3763.12	3737.99	3751.30	32917	0	0
2019.01.01	01:00:00	3750.84	3755.21	3735.22	3741.38	38341	0	0
2019.01.01	02:00:00	3741.56	3748.53	3726.99	3735.21	33807	0	0
2019.01.01	03:00:00	3735.20	3748.50	3734.34	3744.50	22826	0	0
2019.01.01	04:00:00	3744.05	3760.17	3736.23	3739.61	33837	0	0
2019.01.01	05:00:00	3739.61	3753.13	3739.54	3752.89	24032	0	0
2019.01.01	06:00:00	3752.93	3757.53	3734.76	3753.58	24886	0	0
2019.01.01	07:00:00	3753.06	3776.23	3750.52	3765.84	33007	0	0
2019.01.01	08:00:00	3765.88	3785.70	3759.89	3774.48	42630	0	0
2019.01.01	09:00:00	3773.95	3777.67	3752.51	3757.26	33417	0	0
2019.01.01	10:00:00	3757.39	3772.39	3754.67	3770.49	23508	0	0
2019.01.01	11:00:00	3770.46	3782.30	3762.85	3763.53	30938	0	0
2019.01.01	12:00:00	3762.94	3782.98	3758.12	3776.08	25314	0	0
2019.01.01	13:00:00	3777.27	3806.21	3768.37	3780.42	33438	0	0
2019.01.01	14:00:00	3780.54	3780.68	3747.38	3756.01	36247	0	0
2019.01.01	15:00:00	3756.08	3756.08	3730.86	3742.45	42015	0	0
2019.01.01	16:00:00	3742.56	3757.16	3733.87	3752.04	25119	0	0
2019.01.01	17:00:00	3752.07	3759.91	3738.50	3748.47	30783	0	0
2019.01.01	18:00:00	3748.74	3749.13	3704.29	3718.98	44345	0	0
2019.01.01	19:00:00	3719.11	3762.36	3717.06	3758.24	38082	0	0
2019.01.01	20:00:00	3758.75	3807.69	3755.92	3792.56	42620	0	0
2019.01.01	21:00:00	3792.73	3804.56	3706.14	3716.64	10705	0	0
2019.01.01	22:00:00	3717.15	3838.40	3713.14	3823.64	5243	0	0
2019.01.01	23:00:00	3824.64	3836.90	3785.64	3797.90	6569	0	320
2019.01.02	00:00:00	3797.89	3879.56	3786.64	3791.64	4391	0	0
2019.01.02	01:00:00	3791.90	3868.29	3788.39	3799.40	3662	0	0
2019.01.02	02:00:00	3799.64	3867.11	3795.40	3797.39	4519	0	0
2019.01.02	03:00:00	3797.40	3872.76	3786.64	3799.14	4998	0	0
2019.01.02	04:00:00	3798.89	3865.35	3792.14	3795.89	4188	0	0
2019.01.02	05:00:00	3796.14	3860.05	3765.64	3858.67	4581	0	0
2019.01.02	06:00:00	3778.40	3859.89	3775.14	3793.89	3340	0	0
2019.01.02	07:00:00	3793.90	3811.90	3788.14	3798.64	5237	0	520
2019.01.02	08:00:00	3798.65	3800.65	3786.14	3792.64	2699	0	395
2019.01.02	09:00:00	3792.65	3863.21	3787.64	3803.64	3256	0	0
2019.01.02	10:00:00	3803.14	3863.05	3795.14	3804.40	4709	0	0
2019.01.02	11:00:00	3804.65	3883.42	3792.14	3811.15	5002	0	0
2019.01.02	12:00:00	3811.65	3853.15	3808.39	3835.39	4295	0	71
2019.01.02	13:00:00	3835.40	3840.64	3809.39	3827.64	6239	0	519
2019.01.02	14:00:00	3827.65	3831.14	3804.89	3813.89	3993	0	0
2019.01.02	15:00:00	3813.64	3882.64	3809.39	3843.89	4038	0	0
2019.01.02	16:00:00	3844.14	3860.65	3832.14	3847.90	3784	0	521
2019.01.02	17:00:00	3848.15	3851.64	3827.39	3846.40	2794	0	470
2019.01.02	18:00:00	3846.39	3847.15	3816.90	3844.89	2958	0	520
2019.01.02	19:00:00	3844.64	3874.40	3836.64	3872.14	2677	0	470
2019.01.02	20:00:00	3872.15	3944.23	3856.39	3942.58	4436	0	0
2019.01.02	21:00:00	3942.85	3947.03	3865.89	3890.14	8498	0	0
2019.01.02	22:00:00	3890.39	3913.14	3880.39	3885.14	5634	0	0
2019.01.02	23:00:00	3884.14	3956.22	3862.39	3862.89	2944	0	0
2019.01.03	00:00:00	3862.65	3948.31	3843.39	3862.39	3154	0	0
2019.01.03	01:00:00	3861.89	3933.36	3857.89	3863.89	5965	0	0
2019.01.03	02:00:00	3863.64	3936.67	3863.14	3871.39	2162	0	0
2019.01.03	03:00:00	3870.89	3933.31	3857.89	3859.15	1617	0	0
2019.01.03	04:00:00	3860.14	3864.14	3826.14	3849.39	1471	0	521
2019.01.03	05:00:00	3848.14	3911.15	3838.64	3845.14	2117	0	0
2019.01.03	06:00:00	3843.89	3914.08	3843.14	3907.44	2879	0	0
2019.01.03	07:00:00	3843.14	3921.97	3823.14	3829.64	3340	0	0
2019.01.03	08:00:00	3829.39	3912.76	3806.89	3830.64	2766	0	0
2019.01.03	09:00:00	3830.89	3841.64	3828.39	3836.45	1700	0	471
2019.01.03	10:00:00	3836.53	3900.43	3820.39	3898.38	3807	0	0
2019.01.03	11:00:00	3832.89	3898.87	3827.89	3846.65	5517	0	0
2019.01.03	12:00:00	3846.64	3904.32	3835.14	3845.14	4012	0	0
2019.01.03	13:00:00	3844.64	3908.19	3829.39	3833.14	3540	0	0
2019.01.03	14:00:00	3833.15	3843.64	3816.64	3837.65	4071	0	445
2019.01.03	15:00:00	3838.14	3838.15	3751.89	3769.14	2374	0	0
2019.01.03	16:00:00	3769.15	3787.14	3759.39	3775.64	1225	0	271
2019.01.03	17:00:00	3776.14	3780.64	3763.89	3778.39	2211	0	296
2019.01.03	18:00:00	3778.40	3838.07	3766.14	3776.14	3143	0	0
2019.01.03	19:00:00	3775.89	3838.74	3774.64	3796.65	4123	0	0
2019.01.03	20:00:00	3797.14	3858.84	3787.39	3857.13	3365	0	0
2019.01.03	21:00:00	3857.62	3858.85	3771.64	3794.14	11808	0	0
2019.01.03	22:00:00	3793.89	3851.77	3777.64	3785.39	6149	0	0
2019.01.03	23:00:00	3784.39	3843.98	3744.64	3762.14	3490	0	0
2019.01.04	00:00:00	3762.15	3787.39	3762.14	3780.39	4238	0	146
2019.01.04	01:00:00	3780.64	3843.81	3769.89	3773.15	4359	0	0
2019.01.04	02:00:00	3773.65	3838.83	3772.39	3796.15	4249	0	0
2019.01.04	03:00:00	3796.14	3806.65	3778.14	3791.39	2946	0	521
2019.01.04	04:00:00	3791.14	3851.33	3781.14	3791.90	2805	0	0
2019.01.04	05:00:00	3792.15	3855.69	3789.64	3796.89	2529	0	0
2019.01.04	06:00:00	3796.14	3869.37	3795.39	3802.14	6729	0	0
2019.01.04	07:00:00	3802.15	3814.90	3784.89	3786.39	3516	0	520
2019.01.04	08:00:00	3785.89	3793.14	3769.64	3780.65	2881	0	445
2019.01.04	09:00:00	3781.15	3793.64	3775.14	3793.64	3067	0	521
2019.01.04	10:00:00	3793.65	3800.65	3774.89	3778.89	2143	0	521
2019.01.04	11:00:00	3778.64	3851.43	3754.89	3781.14	3215	0	0
2019.01.04	12:00:00	3781.14	3783.14	3769.64	3770.14	1302	0	521
2019.01.04	13:00:00	3770.64	3782.65	3717.89	3744.14	2678	0	245
2019.01.04	14:00:00	3744.15	3750.14	3735.89	3746.89	1684	0	446
2019.01.04	15:00:00	3746.89	3805.33	3739.64	3766.14	5156	0	0
2019.01.04	16:00:00	3766.64	3771.64	3756.39	3770.14	2290	0	495
2019.01.04	17:00:00	3770.14	3824.10	3750.14	3752.39	3005	0	0
2019.01.04	18:00:00	3752.40	3820.72	3751.39	3753.89	2524	0	0
2019.01.04	19:00:00	3756.14	3816.59	3752.89	3778.89	3585	0	0
2019.01.04	20:00:00	3778.64	3847.65	3777.89	3836.20	5421	0	0
2019.01.04	21:00:00	3836.96	3905.00	3833.86	3887.75	54399	0	0
2019.01.04	22:00:00	3887.59	3900.15	3866.86	3879.38	33531	0	0
2019.01.04	23:00:00	3879.45	3887.37	3872.16	3873.03	29282	0	0
2019.01.05	00:00:00	3873.26	3918.25	3873.19	3906.27	43816	0	0
2019.01.05	01:00:00	3906.58	3919.52	3884.26	3896.59	36035	0	0
2019.01.05	02:00:00	3896.67	3911.15	3893.58	3900.43	28892	0	0
2019.01.05	03:00:00	3900.57	3910.89	3892.07	3907.20	25225	0	0
2019.01.05	04:00:00	3907.21	3913.90	3901.89	3903.87	27127	0	0
2019.01.05	05:00:00	3904.36	3923.83	3903.48	3918.42	39826	0	0
2019.01.05	06:00:00	3919.07	3921.19	3883.39	3894.32	30250	0	0
2019.01.05	07:00:00	3894.18	3897.64	3874.48	3878.09	27401	0	0
2019.01.05	08:00:00	3878.21	3889.46	3877.65	3885.71	22610	0	0
2019.01.05	09:00:00	3885.32	3888.70	3878.75	3885.69	16489	0	0
2019.01.05	10:00:00	3885.60	3886.64	3866.57	3881.19	29927	0	0
2019.01.05	11:00:00	3881.21	3901.73	3877.80	3891.55	22438	0	0
2019.01.05	12:00:00	3891.59	3900.41	3888.70	3894.78	26537	0	0
2019.01.05	13:00:00	3894.74	3894.74	3875.66	3883.18	28912	0	0
2019.01.05	14:00:00	3883.20	3885.57	3874.13	3882.50	20759	0	0
2019.01.05	15:00:00	3882.53	3902.61	3873.58	3875.71	33494	0	0
2019.01.05	16:00:00	3875.78	3895.38	3865.58	3884.25	36240	0	0
2019.01.05	17:00:00	3884.40	3894.05	3880.08	3883.72	35094	0	0
2019.01.05	18:00:00	3883.83	3897.58	3880.08	3893.69	33534	0	0
2019.01.05	19:00:00	3893.94	3902.44	3883.40	3892.87	35774	0	0
2019.01.05	20:00:00	3892.07	3892.69	3877.64	3886.22	28284	0	0
2019.01.05	21:00:00	3886.10	3893.55	3877.53	3887.71	23667	0	0
2019.01.05	22:00:00	3887.73	3888.21	3825.88	3856.09	38212	0	0
2019.01.05	23:00:00	3856.59	3856.59	3839.79	3844.22	30001	0	0
2019.01.06	00:00:00	3844.11	3855.69	3835.94	3854.81	23615	0	0
2019.01.06	01:00:00	3854.82	3856.51	3841.14	3842.53	16785	0	0
2019.01.06	02:00:00	3842.60	3845.24	3801.47	3840.78	27000	0	0
2019.01.06	03:00:00	3840.80	3849.31	3840.49	3844.52	16193	0	0
