symbol,timeframe,strategy,costs_on,total_trades,wins,losses,win_rate,average_r,total_r,net_pnl,gross_pnl,total_costs,return_pct,max_drawdown_pct,profit_factor,candles,gaps,elapsed_s,status
BTCUSD,M1,trend_pullback,True,68907,15741,53166,0.2284383299229396,-2.019301378100484,-139144.00006077005,-12694.151350302423,-440.95465195112564,12253.196698411142,-126.94151350302423,1.269506978423084,0.8755256576491937,3678129,1344,108.47,ok
BTCUSD,M1,trend_pullback,False,68907,22846,46061,0.3315483187484581,-0.004466329749611132,-307.76138405645423,-9808.781388889684,-9808.781388889684,0.0,-98.08781388889683,1.0000796029489651,0.9655311382025568,3678129,1344,94.53,ok
BTCUSD,M1,break_retest,True,145414,29801,115613,0.2049390017467369,-2.6199989498589744,-380984.52729479293,-14924.290740346398,1338.0119728683794,16262.302713341433,-149.242907403464,1.492429741677492,1.2073059835911084,3678129,1344,22.52,ok
BTCUSD,M1,break_retest,False,145414,42449,102965,0.2919182472114102,0.16768271609907245,24383.41447883052,2214327.8278374313,2214327.8278374313,0.0,22143.278278374313,0.16537845695099695,1.2014747608817935,3678129,1344,21.12,ok
BTCUSD,M1,inside_bar,True,29401,4945,24456,0.16819155811026837,-4.17017876642995,-122607.42591180696,-11068.469259046613,-180.49968801148802,10887.96957106068,-110.68469259046614,1.1068616841189485,0.9320495968857864,3678129,1344,16.0,ok
BTCUSD,M1,inside_bar,False,29401,8361,21039,0.2843780823781504,0.15516138062152451,4561.899751653442,255124.43649823123,255124.43649823123,0.0,2551.244364982312,0.2365380430465562,1.1467492813279778,3678129,1344,15.6,ok
BTCUSD,M5,trend_pullback,True,6450,1692,4758,0.26232558139534884,-1.2279835654161695,-7920.493996934293,-10226.79221338595,155.90391430817894,10382.69612769959,-102.26792213385951,1.0227178288386005,1.1000606068551593,735749,287,19.33,ok
BTCUSD,M5,trend_pullback,False,6450,2156,4294,0.3342635658914729,0.0037690240330058382,24.310205012887657,-599.343399119033,-599.343399119033,0.0,-5.99343399119033,0.851503050293488,0.9976657925632952,735749,287,18.27,ok
BTCUSD,M5,break_retest,True,25701,6764,18937,0.263180420995292,-0.8637721787815903,-22199.80876686565,-10687.294038346607,1860.5986424588923,12547.892680827621,-106.87294038346606,1.0690388473346533,1.4075501616085453,735749,287,3.29,ok
BTCUSD,M5,break_retest,False,25701,7206,18495,0.28037819540095715,0.11942984293511329,3069.4663932753465,807106.6932246555,807106.6932246555,0.0,8071.066932246555,0.4458103368692179,1.1644583264853274,735749,287,3.57,ok
BTCUSD,M5,inside_bar,True,4358,1004,3354,0.23038090867370353,-1.2482699434315876,-5439.960413474859,-10131.315524236983,-1343.0342297633817,8788.281294477194,-101.31315524236983,1.0134896157094118,0.5061198214195846,735749,287,3.2,ok
BTCUSD,M5,inside_bar,False,4358,1123,3235,0.25768701239100505,0.03472553468966026,151.3338801775394,15514.034878146966,15514.034878146966,0.0,155.14034878146964,0.6958631355076426,1.062743587061006,735749,287,3.04,ok
BTCUSD,M15,trend_pullback,True,521,143,378,0.2744721689059501,-1.0368277178901761,-540.1872410207818,-9905.097648391087,-741.7709070331927,9163.326741357872,-99.05097648391087,0.9905097648391086,0.8020761179372234,245275,88,6.84,ok
BTCUSD,M15,trend_pullback,False,521,158,363,0.30326295585412666,-0.08321265588215426,-43.35379371460237,-3086.0516324664686,-3086.0516324664686,0.0,-30.860516324664687,0.3394393203382468,0.883468215415445,245275,88,6.58,ok
BTCUSD,M15,break_retest,True,7941,2207,5734,0.27792469462284347,-0.40008268883678855,-3177.056632052938,-10125.421074840266,882.7415158863874,11008.16259073289,-101.25421074840266,1.0127189164840238,1.1682724455644988,245275,88,1.05,ok
BTCUSD,M15,break_retest,False,7941,2233,5708,0.28119884145573604,0.121152983391132,962.0758411089791,360987.57456298196,360987.57456298196,0.0,3609.8757456298194,0.2589325771159986,1.144103202800145,245275,88,1.02,ok
BTCUSD,M15,inside_bar,True,1428,394,1034,0.2759103641456583,-0.581211562227518,-829.9701108608957,-10012.081383747762,-2312.615539538812,7699.465844208949,-100.12081383747761,1.001548927089063,0.48584037251473094,245275,88,1.13,ok
BTCUSD,M15,inside_bar,False,1428,398,1030,0.27871148459383754,0.11082621330189517,158.2598325951063,31361.39059406673,31361.39059406673,0.0,313.6139059406673,0.43194337312512077,1.1500019855014767,245275,88,0.94,ok
BTCUSD,H1,trend_pullback,True,15,4,11,0.26666666666666666,-0.9032703594223462,-13.549055391335193,-1152.7201716685356,-274.2683581398579,878.4518135286777,-11.527201716685356,0.12627950310065097,0.7156292435504776,61340,27,1.8,ok
BTCUSD,H1,trend_pullback,False,15,4,11,0.26666666666666666,-0.2,-3.0,-287.3440469386241,-287.3440469386241,0.0,-2.873440469386241,0.05579880958705853,0.7180949373122079,61340,27,1.91,ok
BTCUSD,H1,break_retest,True,2017,576,1441,0.285572632622707,-0.10238895740198423,-206.5185270798022,-9078.743094969514,3055.3100737080113,12134.053168677505,-90.78743094969514,0.9506401083197057,1.137316894842122,61340,27,0.24,ok
BTCUSD,H1,break_retest,False,2017,579,1438,0.28705999008428357,0.13494341240323585,272.1808628173267,96663.86259981932,96663.86259981932,0.0,966.6386259981932,0.2545957281677452,1.1947787167980917,61340,27,0.28,ok
BTCUSD,H1,inside_bar,True,349,89,260,0.25501432664756446,-0.30671422540852517,-107.04326466757529,-6410.66270574731,-7.078525547899787,6403.584180199405,-64.1066270574731,0.6791584229814512,0.9994561095333009,61340,27,0.29,ok
BTCUSD,H1,inside_bar,False,349,90,259,0.25787965616045844,0.02737915284515475,9.555324342959008,434.2023078936953,434.2023078936953,0.0,4.342023078936953,0.24373553593809102,1.0169634519111281,61340,27,0.37,ok
BTCUSD,H4,trend_pullback,True,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16217,3,0.46,ok
BTCUSD,H4,trend_pullback,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16217,3,0.33,ok
BTCUSD,H4,break_retest,True,563,175,388,0.3108348134991119,0.12177754534887084,68.56075803141428,8038.705927853047,14229.713392292984,6191.007464439937,80.38705927853047,0.30368054638004777,1.3283103752150354,16217,3,0.06,ok
